#,Name,Capacity,Arrival time min,Arrival time max,Service time,Address,New Arrival time min,New Arrival time max
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #227677 to HILAL MEAT(HILAL MEAT) ref #143501,272,7:09,7:09,0,"4/7 Birmingham Ave, Villawood NSW 2163, Australia",7:09,7:09
3,Delivery #227678 to KAHIL MEATS PTY LTD(KAHIL MEATS PTY LTD) ref #143592,267,7:17,7:17,0,"10/753 Hume Hwy, Bass Hill NSW 2197, Australia",7:17,7:17
4,Delivery #234878 to KAHIL MEATS PTY LTD(KAHIL MEATS PTY LTD) ref #143592,267,7:17,7:17,5,"10/753 Hume Hwy, Bass Hill NSW 2197, Australia",7:17,7:17
5,Delivery #227685 to ALL THAT MEAT WHOLESALE(ALL THAT MEAT WHOLESALE) ref #143445,241,7:37,7:37,0,"42 Parramatta Rd, Lidcombe NSW 2141, Australia",7:42,7:42
6,Delivery #234885 to ALL THAT MEAT WHOLESALE(ALL THAT MEAT WHOLESALE) ref #143445,241,7:37,7:37,0,"42 Parramatta Rd, Lidcombe NSW 2141, Australia",7:42,7:42
7,Depot,,7:50,7:50,0,"22 George Young St, Regents Park NSW 2143, Australia",7:50,7:50
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234848 to ALBARAKA BUTCHERY BANKSTOWN(ALBARAKA BUTCHERY BANKSTOWN) ref #3,339,7:10,7:10,5,"19 North Terrace, Bankstown NSW 2200, Australia",7:12,7:12
3,Delivery #234961 to PANORAMA HOUSE(PANORAMA HOUSE),45,8:00,8:00,5,"Panorama House, 811 Princes Hwy, Maddens Plains NSW 2508, Australia",8:00,8:00
4,Delivery #227656 to LAKELINE BUTCHERY(LAKELINE BUTCHERY) ref #143512,445,8:32,8:32,0,"3/58 Lakeside Dr, Kanahooka NSW 2530, Australia",8:29,8:29
5,Delivery #234957 to ALBION PARK RAIL(ALBION PARK RAIL),45,8:46,8:46,5,"Warrigal Care, 2 Pine St, Albion Park Rail NSW 2527, Australia",8:43,8:43
6,Delivery #234958 to WARRIGAL MT TERRY(WARRIGAL MT TERRY),20,8:57,8:57,5,"95 Daintree Dr, Albion Park NSW 2527, Australia",8:53,8:53
7,Delivery #234964 to VESPA PIZZERIA(VESPA PIZZERIA),37,9:13,9:13,5,"1/115 Shellharbour Rd, Warilla NSW 2528, Australia",9:11,9:11
8,Delivery #234854 to COUNTRY GROCER WARRAWONG(COUNTRY GROCER WARRAWONG) ref #143599,179,9:28,9:28,5,"Cowper St & King St, Warrawong NSW 2502, Australia",9:26,9:26
9,Delivery #227654 to COUNTRY GROCER WARRAWONG(COUNTRY GROCER WARRAWONG) ref #143599,179,9:33,9:33,0,"Cowper St & King St, Warrawong NSW 2502, Australia",9:26,9:26
